Incident Number,Incident Type,Level,Occurred On,Location,Facility,Informed By
VW09-78,Use of instruments of restraint,Minor,16/03/09 12:45,Stage 1 Airlock.,GSL-Villawood,
VW09-77,Use of instruments of restraint,Minor,13/03/09 1:50,"Stage 1, Airlock",GSL-Villawood,
VW09-82,Use of instruments of restraint,Minor,17/03/09 1:25,Stage 1 Airlock,GSL-Villawood,
VW09-79,Abusive / Aggressive behaviour - by client,Minor,17/03/09 2:02,Stage 2 medical clinic,GSL-Villawood,
VW09-80,Damage to facility - Less serious,Minor,17/03/09 2:00,Stage 2 MEDICAL CLINIC,GSL-Villawood,
VW09-81,Disturbance - Minor,Minor,17/03/09 1:23,Stage 3 Macquarie 12,GSL-Villawood,
VW09-57,Systems Failure,Major,23/02/09 5:00,Stage 2 zone 13,GSL-Villawood,
VW09-58,Use of instruments of restraint,Minor,23/02/09 2:35,"Stage2, Westbridge Centre, Property Office",GSL-Villawood,
VW09-56,Use of instruments of restraint,Minor,20/02/09 1:10,"Stage 2, Westbridge Centre, Property Office",GSL-Villawood,
VW09-53,Voluntary starvation - Over 24 hours,Major,19/02/09 11:30,Stage 2,GSL-Villawood,
VW09-54,Systems Failure,Major,19/02/09 9:40,Stage 3 Darling Building Laundry and TV room.,GSL-Villawood,
VW09-55,Use of instruments of restraint,Minor,19/02/09 7:25,VIDC Property,GSL-Villawood,
VW09-45,Transfer of client - To alternate place of detention [excluding hospital],Minor,13/02/09 5:00,Sir Kingsford Sydney Airport.,GSL-Villawood,
VW09-46,Systems Failure,Major,16/02/09 11:50,Stage 1 Dorm 3 T.V.Room,GSL-Villawood,
VW09-47,Use of instruments of restraint,Minor,16/02/09 12:45,Property Office Stage 2.,GSL-Villawood,
VW09-48,Damage to facility - Less serious,Minor,16/02/09 7:10,Stage One behind T&E building.,GSL-Villawood,
VW09-49,Self Harm - Threatened,Major,17/02/09 10:50,Stage 2 Property office,GSL-Villawood,
VW09-50,Use of instruments of restraint,Minor,17/02/09 9:08,Stage 2 Property Office,GSL-Villawood,
VW09-51,Use of instruments of restraint,Minor,17/02/09 9:55,Stage 2 Property Office,GSL-Villawood,
VW09-52,Voluntary starvation - Under 24 hours,Minor,18/02/09 11:30,Stage 2 GWYDIR UNIT 10-B,GSL-Villawood,
VW09-43,"Accident - To staff, minor",Minor,9/02/09 1:05,Front of Centre Control Stage 1.,GSL-Villawood,
VW09-44,Prohibited article - other - found,Minor,10/02/09 3:45,Stage 2 catwalk,GSL-Villawood,
VW09-41,Emergency medical attention - off site,Major,6/02/09 9:30,Stage 2 Medical Centre,GSL-Villawood,
VW09-42,Self Harm - Actual,Critical,9/02/09 9:46,Stage 2 Office,GSL-Villawood,
VW09-38,Emergency medical attention - off site,Major,5/02/09 3:30,Stage 1,GSL-Villawood,
VW09-39,Self harm - Attempted,Major,5/02/09 3:15,Stage 1 Observation room 3,GSL-Villawood,
VW09-40,Abusive / Aggressive behaviour - by client,Minor,5/02/09 1:30,Stage 2 Medical Centre,GSL-Villawood,
VW09-33,Emergency medical attention - off site,Major,31/01/09 12:25,Stage 2,GSL-Villawood,
VW09-37,Transfer of client - To alternate place of detention [excluding hospital],Minor,4/02/09 9:00,Bankstown Hospital,GSL-Villawood,
VW09-34,Use of instruments of restraint,Minor,2/02/09 2:55,Property Office Stage 2.,GSL-Villawood,
VW09-35,Transfer of client - To alternate place of detention [excluding hospital],Minor,2/02/09 6:30,International Airport,GSL-Villawood,
VW09-36,Use of instruments of restraint,Minor,4/02/09 8:02,Stage 1 'airlock',GSL-Villawood,
VW09-25,Use of instruments of restraint,Minor,28/01/09 5:49,Stage 1 'airlock',GSL-Villawood,
VW09-22,Use of instruments of restraint,Minor,28/01/09 2:50,"Stage 2, Westbridge Centre, Property Office",GSL-Villawood,
VW09-23,Use of instruments of restraint,Minor,28/01/09 1:22,"Stage 2, Westbridge Centre, Property Office",GSL-Villawood,
VW09-24,Emergency medical attention - off site,Major,28/01/09 5:53,Stage.1 Dorm 2,GSL-Villawood,
VW08-637,Use of instruments of restraint,Minor,24/12/08 9:15,Stage 1 'airlock',GSL-Villawood,
VW08-638,Systems Failure,Major,24/12/08 4:25,"stage 2, westbridge building.",GSL-Villawood,
VW08-639,Use of instruments of restraint,Minor,24/12/08 3:17,Stage 1 'airlock',GSL-Villawood,
VW08-635,Emergency medical attention - off site,Major,23/12/08 9:00,Stage 1 Medical rooms,GSL-Villawood,
VW08-636,Use of instruments of restraint,Minor,23/12/08 9:10,Stage 1 air lock,GSL-Villawood,
VW08-634,Use of instruments of restraint,Minor,22/12/08 2:28,Stage 1 'airlock',GSL-Villawood,
VW08-643,Damage to facility - Less serious,Minor,29/12/08 11:00,"Stage 1 Dorm 3 rooms T7,T10 & T11",GSL-Villawood,
VW08-644,Use of instruments of restraint,Minor,29/12/08 2:50,"Stage 1, Airlock",GSL-Villawood,
VW08-645,Emergency medical attention - off site,Major,29/12/08 8:45,Stage.1. Dorm 3,GSL-Villawood,
VW08-646,Abusive / Aggressive behaviour - by client,Minor,29/12/08 4:59,O/S Stage 2 medical,GSL-Villawood,
VW08-640,Abusive / Aggressive behaviour - by client,Minor,25/12/08 5:40,Infront of stage 2 Recreational Room,GSL-Villawood,
VW08-641,Transfer of client - To alternate place of detention [excluding hospital],Minor,26/12/08 1:16,Villawood IDC,GSL-Villawood,
VW08-642,Removal - Aborted,Major,26/12/08 10:45,Sir Kingsford Sydney Airport.,GSL-Villawood,
VW08-647,Property - Missing,Minor,11/12/08 5:30,Stage 1 CC,GSL-Villawood,
VW09-1,Assault - occasioning actual bodily harm - Client on staff,Major,4/01/09 8:30,Stage 2 MESS,GSL-Villawood,
VW09-2,Abusive / Aggressive behaviour - by client,Minor,4/01/09 1:00,Stage 2 MESS,GSL-Villawood,
VW08-629,Demonstration - Inside Facility,Major,15/12/08 7:45,Stage 2,GSL-Villawood,
VW08-630,Transfer of client - To alternate place of detention [excluding hospital],Minor,17/12/08 5:22,Property,GSL-Villawood,
VW08-631,Emergency medical attention - off site,Major,18/12/08 11:30,Stage 2 Medical Clinic,GSL-Villawood,
VW08-632,Emergency medical attention - off site,Major,18/12/08 10:25,Stage.1,GSL-Villawood,
VW08-633,Use of instruments of restraint,Minor,19/12/08 12:40,Property Office Stage 2.,GSL-Villawood,
VW08-623,Escape from an immigration detention facility (includes mass escape) - Successful,Critical,10/12/08 11:40,"Parramatta, Dr Yee's surgery at 1/116 Macquarie St.",GSL-Villawood,
VW08-624,Emergency medical attention - on site,Major,10/12/08 10:00,Stage 1 Villawood IDC,GSL-Villawood,
VW08-625,Emergency medical attention - off site,Major,10/12/08 11:45,Stage 1 Fish Bowl.,GSL-Villawood,
VW08-628,Damage to facility - Less serious,Minor,13/12/08 8:50,Stage 3 Clarence building,GSL-Villawood,
VW08-626,Emergency medical attention - off site,Major,11/12/08 9:34,Stage.1,GSL-Villawood,
VW08-627,Use of instruments of restraint,Minor,12/12/08 9:50,Stage 1 'airlock',GSL-Villawood,
VW08-622,Abusive / Aggressive behaviour - by client,Minor,9/12/08 11:45,Stage 2 medical Centre,GSL-Villawood,
VW09-10,Use of instruments of restraint,Minor,14/01/09 2:30,Airlock Stage 1.,GSL-Villawood,
VW09-11,Voluntary starvation - Over 24 hours,Major,14/01/09 10:30,Gwyder building - Room 10A.,GSL-Villawood,
VW09-13,Abusive / Aggressive behaviour - by client,Minor,15/01/09 7:00,Stage 3,GSL-Villawood,
VW09-12,Emergency medical attention - off site,Major,15/01/09 2:30,STAGE 2 MEDICAL CLINIC,GSL-Villawood,
VW09-7,Use of instruments of restraint,Minor,13/01/09 8:20,Airlock Stage 1.,GSL-Villawood,
VW09-8,Use of instruments of restraint,Minor,13/01/09 9:00,Airlock Stage 1,GSL-Villawood,
VW09-9,Use of instruments of restraint,Minor,13/01/09 1:25,Property Office Stage 2.,GSL-Villawood,
VW09-6,Voluntary starvation - Under 24 hours,Minor,12/01/09 7:30,Stage 2 outside Gwyder building,GSL-Villawood,
VW09-5,"Accident - To staff, minor",Minor,11/01/09 11:40,Hunter Building units 3-4 stage 2,GSL-Villawood,
VW09-3,Prohibited article - other - found,Minor,6/01/09 8:40,Property,GSL-Villawood,
VW09-4,Prohibited article - other - found,Minor,6/01/09 1:06,Property,GSL-Villawood,
VW09-21,Transfer of client - To alternate place of detention [excluding hospital],Minor,25/01/09 8:30,Rydges Hotel Bass Hill,GSL-Villawood,
VW09-20,Emergency medical attention - off site,Major,25/01/09 11:20,Stage.1 Fishbowl area,GSL-Villawood,
VW09-26,Emergency medical attention - off site,Major,29/01/09 4:30,Stage 2 Mental Health/Medical,GSL-Villawood,
VW09-27,Disturbance - Minor,Minor,27/01/09 9:00,Stage 1 Dorm 3,GSL-Villawood,
VW09-28,Use of instruments of restraint,Minor,29/01/09 9:00,Airlock Stage One.,GSL-Villawood,
VW09-29,Disturbance - Minor,Minor,29/01/09 11:00,Dorm 2 - Stage One,GSL-Villawood,
VW09-30,Disturbance - Minor,Minor,29/01/09 10:55,stage 3 gym,GSL-Villawood,
VW09-31,Use of instruments of restraint,Minor,29/01/09 9:00,Stage 1 Dorm 2,GSL-Villawood,
VW09-32,Use of instruments of restraint,Minor,30/01/09 8:30,Stage 1 Dorm 2,GSL-Villawood,
VW09-16,Self Harm - Actual,Critical,21/01/09 4:50,"Stage 2, Namoi 1B",GSL-Villawood,
VW09-17,Damage to facility - Less serious,Minor,21/01/09 10:50,Satage 2 Property airlock,GSL-Villawood,
VW09-18,Emergency medical attention - off site,Major,21/01/09 9:30,Stage.1 Observation room,GSL-Villawood,
VW09-19,Voluntary starvation - Under 24 hours,Minor,21/01/09 7:00,Stage 2 medical centre.,GSL-Villawood,
VW09-14,Damage to facility - Less serious,Minor,19/01/09 3:15,Rear open area of Dorm 2 on grass area,GSL-Villawood,
VW09-15,Use of instruments of restraint,Minor,21/01/09 3:15,Stage 1 'airlock',GSL-Villawood,
VW08-613,Systems Failure,Major,28/11/08 1:34,vidc stg 1 dorm 3,GSL-Villawood,
VW08-614,Prohibited article - other - found,Minor,30/11/08 10:45,Stage 3,GSL-Villawood,
VW08-609,Abusive / Aggressive behaviour - by client,Minor,18/11/08 1:15,stage 3 outside stage 3 office .,GSL-Villawood,
VW08-612,Use of instruments of restraint,Minor,25/11/08 8:30,Rayscan Imaging 41-43 Bigge St Liverpool.,GSL-Villawood,
VW08-620,Systems Failure,Major,5/12/08 8:00,STAGE 2 ZONE 13,GSL-Villawood,
VW08-621,Transfer of client - To alternate place of detention [excluding hospital],Minor,5/12/08 6:24,Rydges Hotel Bass Hill,GSL-Villawood,
VW08-617,Transfer of client - To alternate place of detention [excluding hospital],Minor,3/12/08 6:44,SKSA,GSL-Villawood,
VW08-618,Abusive / Aggressive behaviour - by client,Minor,3/12/08 2:25,DIAC Interview room 4 Stage 2,GSL-Villawood,
VW08-619,Emergency medical attention - off site,Major,4/12/08 11:01,LIMA Observation Room,GSL-Villawood,
VW08-615,Assault - not occasioning bodily harm - Client on staff,Minor,30/11/08 9:40,Outside Fish bowl area Stage.1.,GSL-Villawood,
VW08-616,Use of instruments of restraint,Minor,1/12/08 2:25,Stage 1 'airlock',GSL-Villawood,
VW08-602,Voluntary starvation - Under 24 hours,Minor,11/11/08 1:45,Stage 3 DOC's Office,GSL-Villawood,
VW08-603,Voluntary starvation - Over 24 hours,Major,11/11/08 1:45,stage 3 maq 14 -b,GSL-Villawood,
VW08-604,Prohibited article - other - found,Minor,12/11/08 4:00,Stage 1 visits outside compound,GSL-Villawood,
VW08-593,Demonstration - Inside Facility,Major,7/11/08 6:00,Stage 2 next to old programmes room Tree,GSL-Villawood,
VW08-592,Use of instruments of restraint,Minor,4/11/08 9:20,Stage 1 'airlock',GSL-Villawood,
VW08-600,Damage to facility - Less serious,Minor,10/11/08 12:10,Stage 2 Medical Centre.,GSL-Villawood,
VW08-601,Abusive / Aggressive behaviour - by client,Minor,10/11/08 12:10,Stage 2 Medical Centre.,GSL-Villawood,
VW08-610,Damage to facility - Less serious,Minor,21/11/08 10:00,Stage 3,GSL-Villawood,
VW08-611,Damage to facility - Less serious,Minor,21/11/08 2:00,Rear office area of Stage.1 . (Behind Fishbowl area),GSL-Villawood,
VW08-608,Transfer of client - To alternate place of detention [excluding hospital],Minor,17/11/08 12:25,SKSA DIAC,GSL-Villawood,
VW08-605,Assault - occasioning actual bodily harm - Client on client,Major,13/11/08 11:20,Stage 2 Hastings Building,GSL-Villawood,
VW08-606,Media - Presence at facility,Major,14/11/08 11:10,Opposite Yankee gate car park,GSL-Villawood,
VW08-607,Disturbance - Minor,Minor,14/11/08 4:00,Stage 2 westbridge,GSL-Villawood,
VW08-594,Disturbance - Minor,Minor,7/11/08 5:10,Stage 2 Namoi building,GSL-Villawood,
VW08-595,Media - Presence at facility,Major,8/11/08 3:30,VIDC Main Entrance- Delta post.,GSL-Villawood,
VW08-596          ,,,8/11/08 4:00,,GSL-Villawood,
VW08-597,Voluntary starvation - Under 24 hours,Minor,8/11/08 4:00,Stage two Rec Room.,GSL-Villawood,
VW08-598,Voluntary starvation - Under 24 hours,Minor,8/11/08 4:00,Stage 3,GSL-Villawood,
VW08-599,Voluntary starvation - Over 24 hours,Major,9/11/08 4:00,Stage 2,GSL-Villawood,
VW08-582,Abusive / Aggressive behaviour - by client,Minor,29/10/08 12:45,"Mess, Stage 2",GSL-Villawood,
VW08-581,Transfer of client - To alternate place of detention [excluding hospital],Minor,28/10/08 11:16,SKSA,GSL-Villawood,
VW08-591,Abusive / Aggressive behaviour - by client,Minor,31/10/08 12:00,"Hasting building, Stage 2",GSL-Villawood,
VW08-583,Abusive / Aggressive behaviour - by client,Minor,31/10/08 11:30,"Gym, Stage 2.",GSL-Villawood,
VW08-584,Use of instruments of restraint,Minor,31/10/08 12:47,"Stage 2, Westbridge Centre, Property Office",GSL-Villawood,
VW08-585,Assault - occasioning actual bodily harm - Client on client,Major,31/10/08 6:24,"Dorm 3, Stage One.",GSL-Villawood,
VW08-586,Emergency medical attention - off site,Major,31/10/08 6:24,Stage one medical,GSL-Villawood,
VW08-588,Self Harm - Threatened,Major,31/10/08 7:45,stage 2 Main Compound.,GSL-Villawood,
VW08-589,Transfer of client - To alternate place of detention [excluding hospital],Minor,2/11/08 2:30,SKSA,GSL-Villawood,
VW08-590,Escape from an immigration detention facility (includes mass escape) - Attempted,Major,3/11/08 10:06,"Chester Hill Diagnostic Priam Str, Chester Hill",GSL-Villawood,
VW08-580,Systems Failure,Major,25/10/08 10:07,Alarm system Centre Control went down,GSL-Villawood,
VW08-575,Transfer of client - To alternate place of detention [excluding hospital],Minor,23/10/08 12:15,Rydges Hotel Bass Hill,GSL-Villawood,
VW08-576,Abusive / Aggressive behaviour - by client,Minor,23/10/08 3:30,Stage 2 DIAC rooms,GSL-Villawood,
VW08-577,Use of force - By staff,Major,23/10/08 12:20,"Stage 2, Westbridge Centre, Property Office",GSL-Villawood,
VW08-578,Assault - not occasioning bodily harm - Client on staff,Minor,13/10/08 6:30,"Stage 2 compound, VIDC",GSL-Villawood,
VW08-579,Self Harm - Threatened,Major,24/10/08 2:30,Stage 2 Female dorm,GSL-Villawood,
VW08-573,Transfer of client - To alternate place of detention [excluding hospital],Minor,22/10/08 1:55,Rydges Hotel Bass Hill,GSL-Villawood,
VW08-571,Emergency medical attention - off site,Major,16/10/08 4:20,Stage 1 - Rear of Dorm 1,GSL-Villawood,
VW08-572,Visits - Other visitor refused access,Minor,17/10/08 3:20,Reception area - Stage Two,GSL-Villawood,
VW08-574,Emergency medical attention - off site,Major,22/10/08 6:40,Stage 1,GSL-Villawood,
VW08-570,Prohibited article - Weapons / means of escape,Major,15/10/08 5:00,Stage 1 Property area,GSL-Villawood,
VW08-566,Abusive / Aggressive behaviour - by client,Minor,13/10/08 6:15,"Stage 3, mess",GSL-Villawood,
VW08-568,Emergency medical attention - off site,Major,15/10/08 11:45,Stage 1 Airlock,GSL-Villawood,
VW08-569,Self harm - Attempted,Major,15/10/08 12:40,Stage 1 Air Lock,GSL-Villawood,
VW08-561,Self Harm - Threatened,Major,13/10/08 2:45,Inside the escort van TIS 058 on an enroute Liverpool-VIDC,GSL-Villawood,
VW08-562,Assault - occasioning actual bodily harm - Client on client,Major,13/10/08 6:30,"Lima and Catwalk, Stage 2",GSL-Villawood,
VW08-563,Emergency medical attention - off site,Major,13/10/08 7:05,"Stage One, Dorm Two",GSL-Villawood,
VW08-564,"Accident - To client, minor",Minor,14/10/08 12:35,Stage 2 mess,GSL-Villawood,
VW08-565,Damage to facility - Less serious,Minor,14/10/08 12:39,stage 2 dining room,GSL-Villawood,
VW08-542,"Accident - To client, minor",Minor,24/09/08 12:45,Stage 2 Mess,GSL-Villawood,
VW08-551,Emergency medical attention - off site,Major,1/10/08 1:00,Macquarie Building Stage 3 Compound,GSL-Villawood,
VW08-552,Prohibited article - other - brought in by visitor,Minor,2/10/08 1:02,Westbridge,GSL-Villawood,
VW08-549,Food related,Minor,9/08/08 7:00,Stage 3 Compound,GSL-Villawood,
VW08-550,Transfer of client - To alternate place of detention [excluding hospital],Minor,29/09/08 11:00,Rydges Motel Bass Hill,GSL-Villawood,
VW08-556,Emergency medical attention - off site,Major,4/10/08 4:00,Dorm 2 Stage 1.,GSL-Villawood,
VW08-555,Abusive / Aggressive behaviour - by client,Minor,3/10/08 3:15,Medical,GSL-Villawood,
VW08-553,Self Harm - Actual,Critical,2/10/08 11:04,Lima Tweed 12A,GSL-Villawood,
VW08-554,Emergency medical attention - off site,Major,2/10/08 11:04,Tweed 12A Lima compound,GSL-Villawood,
VW08-560,Escape from alternative place of detention - Successful,Critical,9/10/08 3:10,Bankshouse,GSL-Villawood,
VW08-557,Abusive / Aggressive behaviour - by client,Minor,6/10/08 8:20,Stage 2 Office,GSL-Villawood,
VW08-558,Assault - not occasioning bodily harm - Client on staff,Minor,7/10/08 4:45,"Dorm One, infront of Observation Room One, stage 1 airlock",GSL-Villawood,
VW08-559,Use of force - By staff,Major,7/10/08 4:44,"Stage 1 Observation Room 1, than stage 1 airlock",GSL-Villawood,
VW08-521,Abusive / Aggressive behaviour - by client,Minor,7/09/08 5:48,Stage 2 Mess Area,GSL-Villawood,
VW08-522,Use of force - By staff,Major,7/09/08 5:56,Stage 2 outside Mess Gates,GSL-Villawood,
VW08-523,Assault - not occasioning bodily harm - Client on staff,Minor,7/09/08 3:00,Stage 2,GSL-Villawood,
VW08-524,Use of instruments of restraint,Minor,8/09/08 2:15,"Stage 2, Westbridge Centre, Property Office",GSL-Villawood,
VW08-525,Abusive / Aggressive behaviour - by client,Minor,8/09/08 12:01,Stage 2 Office,GSL-Villawood,
VW08-526,Abusive / Aggressive behaviour - by client,Minor,8/09/08 5:30,Stage 2 walkway opposite the Medical clinic,GSL-Villawood,
VW08-527,Use of instruments of restraint,Minor,9/09/08 6:45,"Stage 2, Westbridge Centre, Property Office",GSL-Villawood,
VW08-532,Assault - allegation / suspicion - Client on staff,Major,10/09/08 9:30,Main Courtyard - Stage 1,GSL-Villawood,
VW08-533,Use of instruments of restraint,Minor,11/09/08 9:25,Stage 1 Airlock,GSL-Villawood,
VW08-534,Emergency medical attention - on site,Major,12/09/08 2:55,Outside Gwyder Building,GSL-Villawood,
VW08-535,Abusive / Aggressive behaviour - by client,Minor,12/09/08 10:30,Stage 2 Compound,GSL-Villawood,
VW08-536,Emergency medical attention - off site,Major,12/09/08 7:30,"Stage 3 Mosque, Darling Building.",GSL-Villawood,
VW08-537,Emergency medical attention - off site,Major,14/09/08 12:00,"Clients telephones, Stage 3",GSL-Villawood,
VW08-538,Assault - not occasioning bodily harm - Client on client,Minor,14/09/08 9:30,Stage 2,GSL-Villawood,
VW08-528,Use of instruments of restraint,Minor,9/09/08 1:58,Stage 1 'airlock',GSL-Villawood,
VW08-529,Use of instruments of restraint,Minor,9/09/08 2:55,"Stage 2, Westbridge Centre, Property Office",GSL-Villawood,
VW08-530,Use of instruments of restraint,Minor,10/09/08 10:35,"Stage 2, Westbridge Centre, Property Office",GSL-Villawood,
VW08-531,Emergency medical attention - off site,Major,10/09/08 11:15,"Stage 1, Villawood Immigration Detention Centre.",GSL-Villawood,
