id,type,severity,date,facility,description,location
1-5IBL0F,Public Health Risk - L/Serious,Minor,25/12/10,Curtin IDC,Member of the public requested assistance from SERCO officer while dropping kitchen staff of at there accommodation.,Boab Inn Derby.,
1-5IAGK5,Accident/Injury - Serious,Critical,25/12/10,Curtin IDC,Chef attended medical centre for treatment for an oil burn to right upper leg.,CIDC,
1-5IJ0V0,Accident/Injury - Serious,Critical,25/12/10,Perth IRH,Client slipped over and was taken to hospital,PIRH Kitchen area of house 1,
1-5IAH19,Disturbance - Minor,Minor,25/12/10,Gwalia Lodge,Client upset how officer spoke to her.,Leonora APOD - Charlie 1 Office,
1-5I9K8O,Accident/Injury - Serious,Critical,25/12/10,Inverbrackie APOD,"Client s. 47F(1) was playing in side house no 136, Client fell and slipt his bottom lip IHMS Traige contacted and advised Client off site to Mount Barker District Hositpal for futhure medical assessment",House 136 - Lucknow Avenue,
1-5IA60Z,Abusive/Aggressive Behaviour,Minor,25/12/10,North West Point Immigration Facility,Clients were involved in a verbal altercation that became heated and had to be seperated. Officers report attached.,"D Block, Aqua compound, NWP",
1-5IAGK0,Failure - IT Systems,Minor,25/12/10,Curtin IDC,Power s. 47F(1) nistration area,CIDC,
1-5II1IQ,Removal - Aborted,Major,25/12/10,Brisbane ITA,Client s. 47F(1) was due for his removal from Australia on 25/12/10. His flight was aborted when thecaptain ordered him off the plane.,Brisbane Interational Airport,
1-64NHES  ,Complaint Unresolved in time,Minor,25/12/10,Lilac Aqua,Complaint s. 47F(1) for clien was not resolved within 3 days regarding IT issue.,Aqua,
1-5I7ZHY,Failure - IT Systems,Minor,25/12/10,Maribyrnong IDC,Monitors in the control room not functioning correctly,Control Room MIDC,
1-5I7ZKI,Failure - IT Systems,Minor,25/12/10,Maribyrnong IDC,Power in Zone E not working,Zone E MIDC,
1-5I1OTD,Damage - Minor,Minor,24/12/10,Villawood IDC,"Client s. 47F(1) and s. 47F(1) damaged the Cameras in dorm 3, A block by hitting the cameras with a metal mop handle.",Blaxland,
1-5HZ8UU  ,Media - Incident  of interest,Major,24/12/10,Inverbrackie APOD,Clients Christmas BBQ caused smoke - SA Police on site after SA Police received a call from a unidentified neighbour,Community Heart,
1-5I1ONG,Assault - Minor,Major,24/12/10,Christmas Island,Clien s. 47F(1) (a child) has allegedly been assaulted by an adult male (identity unknown at this time).,CC/PH,
1-5I0G5K,Disturbance - Minor,Minor,24/12/10,Villawood IDC,Fire Alarm activated in Annexe,Blaxland Annexe,
1-5I1OE2,Contraband found,Minor,24/12/10,Christmas Island,Alleged home brew discovered in laundry block of Phosphate Bravo.,"Under sink in laundry block, Phosphate Bravo.",
1-5I1DCA,Assault - Not OBH,Minor,24/12/10,Curtin IDC,Minor altercation between clients s. 47F(1),Charlie compound room 49.,
1-5HZ8IR,Accident/Injury - Serious,Critical,24/12/10,Melbourne ITA  ,client taken to hosptil vomiting,MITA 1 room 6,
1-5I19VR,Self Harm - Actual,Critical,24/12/10,North West Point Immigration Facility,Client s. 47F(1) Selfharm Actual White 1,NWP White 1,
1-5I1DO0,Media - Approach staff/clients,Minor,24/12/10,North West Point Immigration Facility,"Two refugee advocates entered NWP without authorisation, and spoke to staff.",NWP,
1-5I1DO6,Use of Restraints,Minor,24/12/10,Perth IDC,Mechanical restraints applied to client for dental appointment,Belmont dental surgery,
1-5HZEYE,Abusive/Aggressive Behaviour,Minor,24/12/10,North West Point Immigration Facility,Staff member removed from site,NWP Admin building,
1-5HYEXO,Complaint - re Minor Incident,Minor,24/12/10,Northern IDC,One sealed complaint enveloped received addressed to third party,Northern IDC,
1-5HNO9A,Use of Observation Rm > 24 hrs,Major,24/12/10,Villawood IDC,Client s. 47F(1) has been in the Annexe for over 24 hours.,Blaxland Annexe,
1-5HNO8J,Voluntary starvation (>24 hrs),Major,24/12/10,Curtin IDC,Client continues hunger strike over 24 hour period.,CIDC,
1-5HV7X6,Accident/Injury - Serious,Critical,24/12/10,Curtin IDC,Client received  burn to his righ hand while making noodles,Bravo Charlie kitchen,
1-5HW8RK ,Disturbance - Minor,Minor,24/12/10,Inverbrackie APOD,Wilsons Contractor informed Serco Reception officer of noises coming from perimeter fence at end of Balmoral Avenue,Balmoral Avenue,
1-5HU4R1,Accident/Injury - Serious,Critical,24/12/10,Curtin IDC,Client received hot water burn to his right hand.,Bravo Charlie compound Mess.,
1-5HOVL1,Use of Observation Rm > 24 hrs,Major,24/12/10,Villawood IDC,Clien s. 47F(1) has been housed in the Murray Unit over 24 hours.,MURRAY,
1-5HOVS4  ,Accident/Injury - Serious,Critical,24/12/10,Villawood IDC,"On Thursday 24 December 2010, client at approximately 23 55 hrs. s. 47F(1) complained of chest pains to the officer in the Hughes compound ",Hughes,
1-5HOVWC,Accident/Injury - Serious,Critical,23/12/10,North West Point Immigration Facility,client s. 47F(1) was taken to CI Hospital for a suspected dislocated shoulder,"On site Medical Centre, North West Point",
1-5HOVVP ,Disturbance - Major,Major,23/12/10,Northern IDC,Client s. 47F(1) bcame voilent and aggressive towards staff and smahing up his room,North 1 NIDC,
1-5HWZLY ,Accident/Injury - Serious,Critical,23/12/10,Gwalia Lodge,Client was transfered from Christmas Island and on arrival at Leonora she was taken directly to leonora Hospital for treatment,Leonora Airport,
1-5HW8RO,Disturbance - Minor,Minor,23/12/10,Inverbrackie APOD,A Female resident from the Community entered the reception area of Inverbrackie APOD and informed Serco officer that Clients were trying to escape,Balaclava Street,
1-5HOGUN,Transfer to APOD,Minor,23/12/10,Northern IDC,Transfer 4 x clients to Asti from Darwin Airport Lodge,Darwin Airport Lodge,
1-5HU5A9,Accident/Injury - Serious,Critical,23/12/10,Northern IDC,Client complaining of abdominal pains. Client taken to RDH under instruction from Triage.,Jardine C Room 1,
1-5HNNWE,Disturbance - Minor,Minor,23/12/10,Christmas Island,Altercation broke out outside the Dinning Room at Construction Camp between clients whilist they were waiting in line for dinner.2 x staff members assaulted.,Outside Dining Room Construction Camp.,
1-5HNUFE ,Assault - Minor,Major,23/12/10,North West Point Immigration Facility,Client s. 47F(1) lleges that he was punched in the jaw by an unknown client.,Education 2 - NWP,
1-5HM6X1  ,Transfer to APOD,Minor,23/12/10,Perth IDC,Client admitted to Hospital for routine surgery.  Pre planned admission,Perth IDC to Kaleeya Hospital,
1-5HNU6O ,Use of Force,Major,23/12/10,Gwalia Lodge,Cso T. Hoar restrained Client to prevent him from a physical fight with another Client. He restrained him by the arms using approved C&R techniques.,Open area in front of Charlie 1 Office,
1-5HLZSS,Disturbance - Minor,Minor,23/12/10,Gwalia Lodge,"Clients involve in verbal argument over an allegation. Client alleged to have knocked on door of room 128 early this morning.CSO T. Hoar also a witness , not on system",Wedgetail compound,
1-5HM6FZ,Self Harm - Threatened,Major,23/12/10,North West Point Immigration Facility,"client s. 47F(1) During case managers visit, stated that if he did not get asingle room he will self harm, he then motioned a slashing motion across the throat area.",NWP Blue 2 compound,
1-5HXQWQ,Assault - Minor,Major,23/12/10,Villawood IDC,Hughes Compound Alleged Assult. Client on client s. 47F(1) alleged that client s. 47F(1),Villawood IDC Hughes compound womens room.,
1-5HG3CP,Voluntary starvation (<24 hrs),Minor,23/12/10,Curtin IDC,Client involved in earlier incident stated he is now on a hunger strike.,CIDC,
1-5HG3AK,Damage - Minor,Minor,23/12/10,Curtin IDC,Lock broken on medical gate entry.,Medical centre steel  door,
1-5HOH3M ,Failure - IT Systems,Minor,23/12/10,Perth IRH,Optus line failure into PIRH loss of Server connections inclusive of portal,PIRH,
1-5HG34O  ,Accident/Injury - Serious,Critical,23/12/10,Curtin IDC,Small insect lodged in staff members left ear unable to remove it.,Emu Compound,
1-5HA6KG  ,Self Harm - Threatened,Major,22/12/10,Northern IDC,UAM found unresponsive in bathroom with lacerations to wrists.,"Room 55, Darwin Airport Lodge",
1-5HG3CG ,Disturbance - Minor,Minor,22/12/10,North West Point Immigration Facility,Code Black (officer need assistance) in Green heart tennis court.,"NWP Green heart tennis court area, Christmas Island",
1-5HA3YW ,Abusive/Aggressive Behaviour,Minor,22/12/10,Curtin IDC,Client threw food contents of plate at kitchen staff member,CIDC Main Kitchen.,
1-5IJ58D,Damage - Minor,Minor,22/12/10,North West Point Immigration Facility,Client handed in a broken door lock,Officers Station in Aqua Compound,
1-5H9BKW ,Notification by Welfare Auth,Major,22/12/10,Brisbane ITA,Alarm alarm activited at 17.40.,Bita 100 sugarmill road,
1-5HJTYT,Contraband found,Minor,22/12/10,Scherger IDC,Client s. 47F(1) was found with contraband known as a small pair of metal scissors during a routine room search.,Alpha Compound  Block 508 Room 2 Scherger IDC,
1-5H6K8H,Contraband found,Minor,22/12/10,Maribyrnong IDC,Two bottles of Alcohol have been located in the property area of the facility. Staff member that allowed this into the facility will be investigated. Items have been destroyed.,MIDC,
1-5HG3AR ,Contraband found,Minor,22/12/10,Curtin IDC,Nail clippers found with nail  file attached,Delta compound,
1-5H5SIP,Media - Unauthorised presence,Critical,22/12/10,Christmas Island,Media at Construction Camp in the recreation centre carpark,Construction camp,
1-5H0XBK,Failure - IT Systems,Minor,22/12/10,Sydney IRH,It was reported by CS s. 47F(1) at approximately 0400hrs  that zone 8 beam malfunction at IRH.,Syd IRH,
1-5H1N0S,Assault - Not OBH,Minor,21/12/10,Northern IDC,Two clients involved in an altercation.,"South 3 compound, NIDC",
1-5GVAIO,Abusive/Aggressive Behaviour,Minor,21/12/10,Curtin IDC,Client became aggressive during meal times.,CIDC Main mess,
1-5GST4U  ,Damage - Minor,Minor,21/12/10,Perth IRH,One window panel of house 2 Room 4 was found broken during IPC at 1835hrs. A maintenance request has been submitted to Resole FM to replace that panel. No job number has been issued yet.,PIRH House 2 Room 4,
1-5GST0G  ,Self Harm - Actual,Critical,21/12/10,Perth IDC,Client s. 47F(1) had numerous superficial cuts to his left forearm and a single superficial cut to the right side of his neck transported to Swan District Hospital,Dorm Bravo Area 1,
1-5H59HY,Media - Unauthorised presence,Critical,21/12/10,Northern IDC,A reporter from the NT News entered the ASTI Hotel APOD and went to a Clients room.,ASTI Hotel APOD,
1-5GOPGI,Accident/Injury - Serious,Critical,21/12/10,Port Augusta IRH,Staff member CSW s. 47F(1) has tripped and heard a cracking sound injuring her leg / ankle. Has been taken to Augusta medical centre to see a doctor.,PAIRH House 5 South Australia,
1-5H7LJH,Accident/Injury - Serious,Critical,21/12/10,Perth IDC,Client cut his finger with a knife whilst helping in the kitchen. Reported to DIAC by SOM Phil BOOTH,Perth IDC,
1-5GQ0XQ ,Use of Observation Rm > 24 hrs,Major,21/12/10,Villawood IDC,client s. 47F(1) se of obs room over 24 hours,Murray Unit VIDC,
1-5GSKUV ,Use of Force,Major,21/12/10,Northern IDC,Three Clients(family) went out of perimeter of ASTI in protest about accommodation issues and demanded to see DIAC personel ,ASTI APOD-nature strip perimeter,
1-5GR9V6,Media - Unauthorised presence,Critical,21/12/10,North West Point Immigration Facility,Media present and filming on NWP external fenceline,NWP External Fenceline,
1-5GR9OS ,Assault - Not OBH,Minor,21/12/10,Curtin IDC,Client s. 47F(1) and s. 47F(1) involved altercation.,Delta compound mosque,
1-5GOP9I,Media - Approach staff/clients,Minor,21/12/10,Christmas Island,"A camera man was observed setting up a tripod on vagabond road . Whilst staff were watching this individual, officers at phosphate charlie observed a film crew at rear of rec centre",construction camp,
1-5GMHMC,Media - Incident  of interest,Major,21/12/10,Northern IDC,Security Information Report has been taken as potential evidence.,"Report taken from NIDC Operation Managers Office, Image confiscated from South 3 Compound, Building 280, room 3.",
1-5GOTJ6,Disturbance - Minor,Minor,21/12/10,North West Point Immigration Facility,Client s. 47F(1) refusal to leave NWP Medical Centre,NWP Medical Centre,
1-5GLQRE ,Assault - Serious,Critical,21/12/10,Port Augusta IRH,Client s. 47F(1) assaulted s. 47F(1) fter argument over secret withheld from s. 47F(1),"Port Augusta Immigration Residential Housing, House 2.",
1-5GJM48,Accident/Injury - Serious,Critical,21/12/10,Villawood IDC,Client s.47F(1) transported to Liverpool Hospital via escort vehicle,"Hughes Compound, Vilawood IDC",
1-5T8VM3,Theft,Minor,21/12/10,Melbourne ITA  ,Client s.47F(1) submitted complaint about painting being taken from his room.  Complaint process begun and investigation.,"Room 46, MITA 2",
1-5GJLO4,Failure - Security System,Major,21/12/10,Curtin IDC,Staff toilet  Key missing.,Charlie compound officers toilet block room 8,
1-5GDZ5U,Disturbance - Minor,Minor,20/12/10,North West Point Immigration Facility,Two clients involved in an altercation regarding the Pool table usage in Green 1.  A/CSM Jai SLEEP notified DIAC via mobile.,"Green 1 Compound (Pool table area), NWP, Christmas Island.",
1-5GBJSJ,Disturbance - Minor,Minor,20/12/10,Villawood IDC,Fire Brigade were on site to check a fire alarm in the dorm 3 kitchen.,Blaxland VIDC,
1-5GDZ48,Visitor-Other refused,Minor,20/12/10,Melbourne ITA,Vistors where refused to go ahead due to uprest at centre vistors where escorted from MITA by serco staff,MITA 1 Recetion area,
1-5GMHNG,Accident/Injury - Serious,Critical,20/12/10,Melbourne ITA  ,A Serco staff Member accidentally hurt himself,North end of MITA 1 building,
1-5GDSUX,Disturbance - Major,Major,20/12/10,Melbourne ITA  ,clients where aggresive towards vistors in which Serco staff escorted vistors from reception,Mita reception |area,
1-5GR9R3  ,Contraband found,Minor,20/12/10,Inverbrackie APOD,CSO S Wilson found 2 small round tablets on the floor of the community bus,Inverbrackie,
1-5GDYTF  ,Disturbance - Minor,Minor,20/12/10,Melbourne ITA  ,Client s. 47F(1) was refused extra meal by the chef. He became aggresive and abusive towards the chef. CSWs on duty in the mess calmed him down and he exited without further incident,MITA dining room,
1-5GDYJW ,Disturbance - Minor,Minor,20/12/10,Melbourne ITA  ,Client s. 47F(1) became agitated and was yelling and screaming alone in his room. CSW's and LWB staff calmed him down. SERCO MITA manager instructed he be moved to Annex. CSW with client to monitor behaviour which improved markedly,"Room 5, MITA 1",
1-5GBNKY,Disturbance - Minor,Minor,20/12/10,Maribyrnong IDC,Client s. 47F(1) ad behavioural issues as she repeatedly kicked the Zone D entry door and threw billardballs around which almost broke windows and equipment. Officers had to intervien to stop her from throwing the billardballs.,Zone D Rec Area,
1-5G9IME,Failure - IT Systems,Minor,20/12/10,Sydney IRH,Zone 9 and 10 Beam not working or activiting at Sydney  IRH,Sydney IRH,
1-5GDYLN,Damage - Minor,Minor,20/12/10,Curtin IDC,Contractors gate fell down.,ECHO FOX 4,
1-5GKD8Z,Abusive/Aggressive Behaviour,Minor,20/12/10,Curtin IDC,Clien s. 47F(1) became abusive towards staff,Canteen,
1-5G9IDY,Demonstration - Onsite,Major,20/12/10,Northern IDC,Clients barricading themselves in their room,Darwin Airport Lodge -Room 27,
1-5GBN4I,Assault - Not OBH,Minor,20/12/10,Curtin IDC,Clients presented to staff and claimed to have been involved in an altercation.,Bravo compound,
1-5G9IP6,Accident/Injury - Serious,Critical,20/12/10,Perth IDC,Client cut finger accidently whilst on Escort.,"Assets, 286 Beaufort Street Perth.",
1-5G9I7Q,Media - Unauthorised presence,Critical,20/12/10,North West Point Immigration Facility,"2 x Media Vehicles on site at facilty, external perimiter fence behind main reception NWP",External perimiter fence behind main reception NWP,
1-5G976H,Self Harm - Threatened,Major,20/12/10,Northern IDC,"Client attempted self harm,staff alerted by other client.",South 3 Compound  NIDC,
1-5G9ID8,Assault - Not OBH,Minor,20/12/10,Curtin IDC,Altercation between clients Delta Compound,Delta Compound,
